单词,词性和解释,频率,状态
furnish,vt. 供应，提供；装备，布置,中,?
establish,vt. 建立；安置，使定居；证实,高,?
aspect,n. 样子，外表，面貌；方面,高,
lad,n. 男孩，小伙子,低,
exterior,"a. 外部的
n. 外部；外表",高,
elbow,"n. 肘；弯头
v. 用肘挤",中,
discipline,n. 纪律，规定；学科；训练,高,
thrill,"n. 令人激动的事
vt. 使激动，使兴奋",中,
allegiance,n. 拥护；忠诚,低,
motion,"n. 运动，动；提议
vt. 向…示意",高,?
substantial,a. 实质的，真实的；坚固的，结实的；富裕的，可观的,高,?
startle,vt. 惊吓；使吃惊,中,
concede,vt. （不情愿地）承认；让步，给予,低,
dictate,vt. 口述；听写；命令；支配；决定,中,?
lame,a. 跛的；有缺陷的；站不住脚的,高,
exhaust,"vt. 使精疲力尽，耗尽；抽完
n. 排气装置；废气",高,?
stiff,a. 激烈的；硬的，僵直的；拘谨的，呆板的；艰难的，费劲的,低,
pinch,"n. （一）撮，微量；捏，掐；短缺
vt. 捏，掐",低,
remnant,n. 残余物；零头布料；遗迹,低,
crisp,"a. 脆的，易碎的
n. 炸薯片",低,
dealer,n. 商人，贩子,中,
zeal,n. 热情，热忱,中,
shear,vt. 修剪,低,
propaganda,n. 宣传,中,
cape,n. 斗篷；披肩；海角,中,
upright,"a. 垂直的，直立的；正直的，诚实的
ad. 竖立着",中,?
dilute,"vt. 冲淡，稀释
a. 冲淡的，稀释的",中,
browse,"vi. 浏览；吃草
n. 浏览；吃草，放牧；嫩叶",高,
tentative,a. 尝试的，试验性的；犹豫的,中,
seam,n. 缝，接缝,低,
descendant,n. 子孙，后代,中,
sting,n./v. 叮，刺，刺痛,低,
brochure,n. 小册子,中,
spin,v. 旋转；杜撰，虚构，编造；纺纱，织网,低,
brutal,a. 残忍的；严峻的，严酷的,低,
swan,n. 天鹅,低,
rigorous,a. 严密的；严格的，严厉的；严峻的,中,
wax,"n. 蜡
vt. 打蜡",低,
slaughter,n./vt. 屠杀；屠宰,低,
pit,n. 坑，陷阱；煤矿，矿井；剧院的正厅后座,低,
decay,n./vt. 腐朽，腐烂；衰减，衰退,低,
beware,vi. 当心，谨防,低,
worship,"v. 崇拜，敬仰；做礼拜
n. 崇拜，敬仰；礼拜，礼拜仪式",高,?
valve,n. 阀；电子管，真空管,低,
circular,"a. 圆形的，环形的；循环的
n. 传单，通报",低,
revive,v. 恢复；（使）复苏,高,
huddle,"v. 聚集在一起，挤作一团
n. 挤在一起的人；一堆杂乱的东西",低,
cellar,n. 地窖，地下室,低,
undertake,vt. 承担，担任；保证；着手，从事,高,?
instrumental,a. 起作用的，有帮助的；乐器的,中,
converge,vi. 会合；靠拢，趋近；聚集，集中,低,
siege,n. 包围，围攻,低,
conduct,"n. 行为，品行；引导，实施
vt. 引导，带领，管理；传导；指挥（乐队）",高,
lever,n. 杆，杠杆,高,
blend,"n. 混合（物）
v. （使）混合，（使）混杂",低,
ample,a. 充分的；富裕的；宽敞的,高,?
rash,"a. 鲁莽的，轻率的
n. （短时间内出现的）一连串令人不快的事物；皮疹",高,?
radical,a. 重要的，根本的；激进的，极端的,高,?
pillar,n. 台柱，栋梁,低,
grip,n./v. 紧握，抓紧,高,
antenna,n. 天线,低,
sip,"v. 抿，呷
n. 小口喝，一小口的量",低,
devise,vt. 设计，想出，发明,高,
bold,a. 大胆的，勇敢的；冒失的，冒昧的；粗体的,高,
stadium,n. 体育场,中,
diffuse,"vi. 扩散
vt. 传播，散布；使分散；宣泄（不良情绪）
a. （文章等）冗长的，漫无边际的；弥漫的",中,?
negligible,a. 可以忽略的，微不足道的,高,
critical,a. 批评的，评论的；危急的，紧要的；挑剔的；临界的,高,
excursion,n. 短途旅行，浏览,低,
cosy/cozy,a. 温暖而舒适的,低,
peep,vi. 偷看,低,
conductor,n. 领队，（乐队）指挥；售票员；导体,高,
isle,n. 小岛,低,
intrigue,"vi. 密谋，施诡计
vt. 引起极大兴趣，迷住
n. 阴谋，诡计",低,
stoop,"vi. 弯腰，俯身
n. 弯腰，曲背",低,
inertia,n. 惯性；惰性,中,
luggage,n. 行李,中,
plausible,a. 似乎合理的，似乎可信的,中,
nucleus,n. 核，原子核；核心,低,
crust,n. 外皮，壳；地壳,低,
lick,"vt. 舔
n. 舔",低,
lest,conj. 唯恐，免得,高,?
confine,vt. 限制，局限于；管制，禁闭,高,?
provision,n. 供应；准备；条款，规定；给养，口粮,高,
supplement,"n. 补充（物）；增刊
vt. 增补，补充",中,
propel,vt. 推进，推动；激励，驱使,中,
appal(l),vt. 使惊骇，使恐怖,低,
dormitory,n. （集体）宿舍,低,
spade,n. 铁锹，铲子,低,
vocal,"a. 嗓音的，发声的；直言不讳的
n. 声乐节目",中,
arch,"n. 拱门；拱形结构；桥拱洞
vt. 拱起，使变成弓形",低,
compound,"n. 混合物，化合物
a. 混合的，复合的，化合的",中,
gown,n. 女式礼服；罩衣；长袍,低,
locomotive,"a. 运动的，移动的，运载的
n. 机车，火车头",低,
petrol,n. 汽油,高,
seal,"n. 海豹；图章；封条
vt. 密封",中,
specimen,n. 标本，样本,低,
utter,"vt. 说，发出（声音）
a. 彻底的，完全的",中,?
tomb,n. 坟,高,
keen,a. 热心的，渴望的；敏锐的，头脑敏捷的；锋利的,高,?
straightforward,"a. 简单的，易懂的；正直的，坦率的
ad. 坦率地",中,
stall,"n. 货摊；畜栏
v. （使）停转，（使）停止",中,?
oar,n. 桨橹,低,
verge,"n. 边缘
v. 接近，濒临",中,
monarch,n. 君主，帝王,高,
veteran,"a. 经验丰富的
n. 老手；老兵",中,
splash,"vt. 溅湿，泼
n. 溅，飞溅声；引人注目的事物",中,?
deteriorate,vi. 恶化，变坏,中,
confer,"vi. 商谈
vt. 授予，赋予",高,
limp,"a. 柔软的，易曲的，无力的
n./vi. 蹒跚，跛行",低,
mischief,n. 损害，伤害，危害；恶作剧，捣蛋，胡闹,低,
bosom,n. （心）胸,低,
reptile,n. 爬行动物,低,
heave,"vt. （用力）举起，提起；扔（重物）
n. 举起；升降",低,
pope,n. （天主教）教皇，罗马主教,低,
reclaim,vt. 要求归还，收回；开垦,高,
sober,a. 清醒的，冷静的；适度的；严肃的,高,?
indulge,vt. 沉溺，纵容自己，肆意从事；允许（某人）延期付款,高,
embryo,n. 胚胎；事物的萌芽期,低,
herald,"n. 预告，先兆；传令官
vt. 预示…的来临",低,
scorn,n./vt. 轻蔑，藐视,中,
posture,"n. 姿势，体态；看法，态度
vi. 摆出（不自然的）姿势，装模作样",高,?
relate,vt. 叙述，讲述；使联系,高,
maneuver/manoeuvre,v. 演习；谨慎的运用技巧（使某物）移动；熟练而巧妙地引导某人（或某事物）,低,
mock,"v. 嘲笑，讥笑
a. 仿制的，假装的；模拟的，演习的
n. 模拟考试",高,
linen,n. 亚麻布，亚麻布制品,中,
plateau,n. 高原；稳定期，停滞期,中,
abide,vi. 坚持，遵守；忍受；居住；停留,高,
dome,n. 圆屋顶，拱顶,低,
patron,n. 赞助人，保护人,高,x
scheme,"n. 计划，方案；阴谋；配置，方案
v. 计划，策划；密谋",高,
thermal,a. 热的；保暖的,低,
lumber,n. 木材，木料,中,
majesty,n. 陛下；雄伟，壮丽，庄严,低,
repertoire,n. （剧团等）常备节目；全部节目,中,x
obstruction,n. （蓄意）阻碍；妨碍；障碍物,低,
propose,"vt. 提议；提名，推荐
vi. （向某人）求婚",高,
nominate,vt. 提名；任命,低,
subscribe,vi. 订阅，预订；赞成,中,
carbohydrate,n. 碳水化合物,中,
overhaul,"n. 彻底检修；改革
vt. 彻底检修；赶上，超过（赛跑对手）",低,
discourse,"n. 演讲，谈话，论文
vi. 演讲，谈话",中,
sturdy,a. 强健的，结实的,低,
fuss,n./vi. 忙乱，大惊小怪,低,
buffet,n. 自助餐,低,
permeate,vi. 扩散，弥漫；渗透，渗入,低,
steep,a. 陡峭的，险峻的；突然的，急剧的（数量的上升或下降），大起大落的,高,
dam,n. 水坝，水闸,中,
narrative,"a. 叙述的，有故事性的
n. 叙述；记叙文",中,
vulgar,a. 粗野的，下流的；庸俗的，粗俗的；通俗的,中,
cripple,"n. 跛子，残疾人
vt. 使跛，使残疾",低,
snap,"vt. 给…拍快照
vi. 咔嚓折断，啪地绷断；猛咬；猛然断裂；吧嗒一声（关上或打开）；厉声说话，怒声责骂",低,
fairy,n. 小仙子，小精灵,低,
whatsoever,ad. （用于否定句中加强语气）任何,中,?
fancy,"n. 爱好，喜爱；想象，设想
vt. 想象，幻想
a. 花式的；奇特的",中,
slender,a. 修长的，苗条的；微小的，微薄的,低,
linger,vi. 逗留，闲逛，徘徊；磨蹭，拖延,中,?
rein,n. 缰绳；控制,低,
exert,vt. 尽（力）；施加（压力等）,高,
liberal,a. 自由的，开明的；丰富的，富足的；慷慨的；通识（教育）的,高,
trumpet,"n. 喇叭，小号
v. 吹嘘，鼓吹",低,
heir,n. 继承人,低,
intervene,vi. 插手，干预，调停，介入,中,
vacuum,"n. 真空；真空吸尘器
v. 收集",中,?
speculate,v. 预测，推断；思索；投机,高,
persecute,vt. 迫害,低,
slice,n. 薄片，切片；一份，部分,中,
canal,n. 运河；沟渠,中,
intact,a. 完整无缺的，未经触动的,低,
lean,"vi. 倾斜；屈身；倚靠；依赖
a. 瘦的，无脂肪的",高,?
clutch,"v. 抓住，掌握
n. 离合器",低,
temperament,n. 性情；气质,中,
curl,"v. （使）卷曲；蜷缩
n. 卷发；卷曲状；卷曲物",低,
pact,n. 协定，条约，公约,低,
wander,vi. 漫步，徘徊；迷路，迷失方向；离题,高,?
compartment,n. （客车车厢内的）隔间；分隔的空间,低,
liner,n. 班机，班轮,高,
spectrum,n. 光谱；频谱；范围，幅度,中,
bail,"n. 保释
vt. 保释；帮助（某人）脱离困境",低,
