单词,词性和解释,频率,偏意,状态
furnish,vt. 供应，提供；装备，布置,中,FALSE,
establish,vt. 建立；安置，使定居；证实,高,TRUE,
aspect,n. 样子，外表，面貌；方面,高,TRUE,
lad,n. 男孩，小伙子,低,FALSE,
exterior,"a. 外部的
n. 外部；外表",高,FALSE,
elbow,"n. 肘；弯头
v. 用肘挤",中,FALSE,
discipline,n. 纪律，规定；学科；训练,高,FALSE,
thrill,"n. 令人激动的事
vt. 使激动，使兴奋",中,FALSE,
allegiance,n. 拥护；忠诚,低,FALSE,
motion,"n. 运动，动；提议
vt. 向…示意",高,TRUE,
substantial,a. 实质的，真实的；坚固的，结实的；富裕的，可观的,高,TRUE,
startle,vt. 惊吓；使吃惊,中,FALSE,
concede,vt. （不情愿地）承认；让步，给予,低,FALSE,
dictate,vt. 口述；听写；命令；支配；决定,中,TRUE,
lame,a. 跛的；有缺陷的；站不住脚的,高,FALSE,
exhaust,"vt. 使精疲力尽，耗尽；抽完
n. 排气装置；废气",高,TRUE,
stiff,a. 激烈的；硬的，僵直的；拘谨的，呆板的；艰难的，费劲的,低,FALSE,
pinch,"n. （一）撮，微量；捏，掐；短缺
vt. 捏，掐",低,FALSE,
remnant,n. 残余物；零头布料；遗迹,低,FALSE,
crisp,"a. 脆的，易碎的
n. 炸薯片",低,FALSE,
dealer,n. 商人，贩子,中,FALSE,
zeal,n. 热情，热忱,中,FALSE,
shear,vt. 修剪,低,FALSE,
propaganda,n. 宣传,中,FALSE,
cape,n. 斗篷；披肩；海角,中,FALSE,
upright,"a. 垂直的，直立的；正直的，诚实的
ad. 竖立着",中,FALSE,
dilute,"vt. 冲淡，稀释
a. 冲淡的，稀释的",中,FALSE,
browse,"vi. 浏览；吃草
n. 浏览；吃草，放牧；嫩叶",高,TRUE,
tentative,a. 尝试的，试验性的；犹豫的,中,FALSE,
seam,n. 缝，接缝,低,FALSE,
descendant,n. 子孙，后代,中,FALSE,
sting,n./v. 叮，刺，刺痛,低,FALSE,
brochure,n. 小册子,中,FALSE,
spin,v. 旋转；杜撰，虚构，编造；纺纱，织网,低,TRUE,
brutal,a. 残忍的；严峻的，严酷的,低,FALSE,
swan,n. 天鹅,低,FALSE,
rigorous,a. 严密的；严格的，严厉的；严峻的,中,FALSE,
wax,"n. 蜡
vt. 打蜡",低,FALSE,
slaughter,n./vt. 屠杀；屠宰,低,FALSE,
pit,n. 坑，陷阱；煤矿，矿井；剧院的正厅后座,低,FALSE,
decay,n./vt. 腐朽，腐烂；衰减，衰退,低,FALSE,
beware,vi. 当心，谨防,低,FALSE,
worship,"v. 崇拜，敬仰；做礼拜
n. 崇拜，敬仰；礼拜，礼拜仪式",高,FALSE,
valve,n. 阀；电子管，真空管,低,FALSE,
circular,"a. 圆形的，环形的；循环的
n. 传单，通报",低,FALSE,
revive,v. 恢复；（使）复苏,高,FALSE,
huddle,"v. 聚集在一起，挤作一团
n. 挤在一起的人；一堆杂乱的东西",低,FALSE,
cellar,n. 地窖，地下室,低,FALSE,
undertake,vt. 承担，担任；保证；着手，从事,高,FALSE,
instrumental,a. 起作用的，有帮助的；乐器的,中,TRUE,
converge,vi. 会合；靠拢，趋近；聚集，集中,低,FALSE,
siege,n. 包围，围攻,低,FALSE,
conduct,"n. 行为，品行；引导，实施
vt. 引导，带领，管理；传导；指挥（乐队）",高,TRUE,
lever,n. 杆，杠杆,高,FALSE,
blend,"n. 混合（物）
v. （使）混合，（使）混杂",低,FALSE,
ample,a. 充分的；富裕的；宽敞的,高,FALSE,
rash,"a. 鲁莽的，轻率的
n. （短时间内出现的）一连串令人不快的事物；皮疹",高,FALSE,
radical,a. 重要的，根本的；激进的，极端的,高,FALSE,
pillar,n. 台柱，栋梁,低,FALSE,
